store_id,item_id,volume_tier,model,mae,rmse,wmape,actual_sum,sum_abs_error
TX_1,HOUSEHOLD_2_293,low,sarima,0.2569793566101542,0.3224404664592775,2.3984739950281058,3.0,7.195421985084318
TX_1,HOUSEHOLD_2_293,low,prophet,0.2466166408517147,0.3179491222209435,2.301755314616004,3.0,6.905265943848011
TX_1,HOBBIES_2_042,low,sarima,0.6805509952355028,0.8746069244278503,1.0029172561365305,19.0,19.055427866594076
TX_1,HOBBIES_2_042,low,prophet,0.6779109664958565,0.8718381470535876,0.999026687467578,19.0,18.98150706188398
TX_1,HOUSEHOLD_1_035,low,sarima,0.3313901413278669,0.4788723108702448,1.5464873261967125,6.0,9.278923957180274
TX_1,HOUSEHOLD_1_035,low,prophet,0.3483788982371563,0.4795911086468278,1.6257681917733962,6.0,9.754609150640377
TX_1,FOODS_3_186,medium,sarima,0.4594779267217327,0.4896749991436611,1.8379117068869308,7.0,12.865381948208515
TX_1,FOODS_3_186,medium,prophet,0.416493442443929,0.4671921095953101,1.6659737697757162,7.0,11.661816388430012
CA_1,HOUSEHOLD_2_346,medium,sarima,1.3543841073793967,1.5412956306704626,1.8961377503311556,20.0,37.922755006623106
CA_1,HOUSEHOLD_2_346,medium,prophet,1.1493790255319527,1.3136881771912974,1.6091306357447337,20.0,32.182612714894674
CA_1,HOUSEHOLD_2_044,medium,sarima,1.3711139633366969,1.6225360504892283,0.5118825463123668,75.0,38.39119097342751
CA_1,HOUSEHOLD_2_044,medium,prophet,1.391760483122176,1.6468153426266745,0.5195905803656123,75.0,38.96929352742092
TX_1,HOUSEHOLD_2_369,medium,sarima,0.7522070478789337,0.9606943297677236,1.1085156495057968,19.0,21.06179734061014
TX_1,HOUSEHOLD_2_369,medium,prophet,0.7648389353528795,0.959730704484868,1.1271310626252962,19.0,21.415490189880625
TX_1,FOODS_3_012,medium,sarima,0.4341475186926575,0.5639317788817891,3.0390326308486024,4.0,12.15613052339441
TX_1,FOODS_3_012,medium,prophet,0.2731735173501075,0.5305985293827143,1.9122146214507525,4.0,7.648858485803009
TX_1,FOODS_3_565,medium,sarima,0.5691230851566103,0.6282256782707952,1.327953865365424,12.0,15.935446384385088
TX_1,FOODS_3_565,medium,prophet,0.6084988517230719,0.6511437711826064,1.4198306540205012,12.0,17.037967848246016
TX_1,FOODS_2_193,medium,sarima,0.6946286953591514,0.7826986900111794,1.7681457700051126,11.0,19.44960347005624
TX_1,FOODS_2_193,medium,prophet,0.6322727026546678,0.6734188576058386,1.6094214249391543,11.0,17.703635674330698
CA_1,FOODS_3_452,medium,sarima,0.5091490689405135,0.5505683044469861,1.2960158118485798,11.0,14.256173930334377
CA_1,FOODS_3_452,medium,prophet,0.5261786880966771,0.5578280049353685,1.3393639333369964,11.0,14.733003266706959
TX_1,HOUSEHOLD_1_042,medium,sarima,1.0979683638023736,1.4597324474698263,0.6404815455513847,48.0,30.74311418646646
TX_1,HOUSEHOLD_1_042,medium,prophet,1.1491969882182833,1.3599764920435826,0.6703649097939985,48.0,32.17751567011193
TX_1,FOODS_3_279,medium,sarima,0.5007745049446833,0.5476385859799188,1.5579651264945702,9.0,14.021686138451134
TX_1,FOODS_3_279,medium,prophet,0.4213140641479703,0.5459495585678733,1.31075486623813,9.0,11.796793796143168
TX_1,HOUSEHOLD_1_233,medium,sarima,0.4896132330918536,0.6756461794613928,0.9792264661837072,14.0,13.709170526571901
TX_1,HOUSEHOLD_1_233,medium,prophet,0.5053775081686686,0.6422768673633745,1.010755016337337,14.0,14.150570228722719
CA_1,FOODS_3_061,medium,sarima,0.5614614924801767,0.6229112123525867,0.9825576118403092,16.0,15.72092178944495
CA_1,FOODS_3_061,medium,prophet,0.5575678929411217,0.6259243141258543,0.9757438126469632,16.0,15.61190100235141
CA_1,HOBBIES_1_031,medium,sarima,0.3740227663683258,0.4038170636916365,2.618159364578281,4.0,10.472637458313123
CA_1,HOBBIES_1_031,medium,prophet,0.3128227699768313,0.3753491206162884,2.18975938983782,4.0,8.759037559351276
CA_1,FOODS_3_521,medium,sarima,1.2403425442862548,1.3908102621867793,1.0852997262504729,32.0,34.72959124001513
CA_1,FOODS_3_521,medium,prophet,1.2308704799340533,1.391303133154386,1.0770116699422967,32.0,34.464373438153494
TX_1,HOUSEHOLD_2_476,medium,sarima,1.376459565845208,2.1447782218190867,0.988227380606816,39.0,38.54086784366582
TX_1,HOUSEHOLD_2_476,medium,prophet,1.3835908399862518,2.1355338594502644,0.9933472697337192,39.0,38.74054351961505
CA_1,HOBBIES_2_032,medium,sarima,1.1836701300425525,2.045013886005198,0.946936104034042,35.0,33.14276364119147
CA_1,HOBBIES_2_032,medium,prophet,1.1956411053097564,2.1067266946284464,0.9565128842478052,35.0,33.47795094867318
TX_1,FOODS_1_075,medium,sarima,0.1775116171164353,0.2316421575344744,4.970325279260188,1.0,4.970325279260188
TX_1,FOODS_1_075,medium,prophet,0.1414685660830068,0.2139990321712919,3.961119850324191,1.0,3.9611198503241907
TX_1,FOODS_3_341,medium,sarima,0.4369221196873797,0.6943730803574798,1.223381935124663,10.0,12.233819351246632
TX_1,FOODS_3_341,medium,prophet,0.4807608381819795,0.6773126170488862,1.346130346909543,10.0,13.461303469095427
TX_1,FOODS_1_198,medium,sarima,0.8924063548353326,1.07619277590783,1.3151251544941742,19.0,24.98737793538931
TX_1,FOODS_1_198,medium,prophet,0.855059065166376,1.0801769338061529,1.2600870434030804,19.0,23.941653824658527
TX_1,HOBBIES_1_172,medium,sarima,0.1682208255769929,0.4653368960155622,1.1775457790389503,4.0,4.710183116155801
